Clave_entidad,Entidad_federativa,Clave_municipio,Nombre_municipio,Clave_localidad,Clave_AGEB,Folio_AGEB,Población_total ,Viviendas_habitadas,Población_de_15_años_con_educación_básica_incompleta,Población_15_24_no_asiste_a_la_escuela,Población_sin_derechohabiencia,Personas_que_viven_en_hacinamiento,Viviendas_sin_anitario,Viviendas_sin_lavadora,Viviendas_sin_refrigerador,Viviendas_sin_teléfono_fijo,Población_15_años_o_más_analfabeta,Población_6_14 años_no_asiste_a_escuela,Viviendas_con_piso_tierra,Viviendas_sin_agua_entubada,Viviendas_sin_drenaje,Viviendas_sin_energía_eléctrica,Rezago_social
19,Nuevo León,46,San Nicolás de los Garza,1,1002,1904600011002.00,3558,811,46.90200043,77.89499664,24.76099968,2.224999905,0.493000001,14.18000031,2.959000111,44.26599884,3.450834879,5.273833671,0.863131936,0.493218249,0,0.246609125,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1017,1904600011017.00,4766,1225,19.24200058,60.4070015,21.75799942,0.654999971,0.815999985,8.979999542,2.694000006,28.40800095,0.725611395,2.113821138,0.326530612,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1021,1904600011021.00,4408,1142,12.14700031,38.47700119,15.5170002,0.174999997,0.263000011,4.991000175,0.524999976,9.895000458,0.403985995,1.941747573,0.175131349,0.087565674,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1040,1904600011040.00,3873,968,7.186999798,38.20299911,17.91900063,0,0.103,3.201999903,0.310000002,9.401000023,0.215916101,0.301204819,0.103305785,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1055,1904600011055.00,7975,1959,20.45299911,49.51699829,18.64599991,0.256999999,0.765999973,7.09499979,1.480000019,19.60199928,1.140808344,1.259689922,0.255232261,0.153139357,0,0.102092905,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,106A,190460001106A,955,241,6.973999977,34.21099854,14.03100014,0.414999992,0,2.49000001,0.414999992,5.809000015,0.394736842,1,0,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1074,1904600011074.00,5475,1361,6.580999851,24.63999939,18.20999908,0,0.219999999,3.305999994,0.588,7.934999943,0.193563997,1.809954751,0.073475386,0.073475386,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1089,1904600011089.00,3718,830,40.63800049,74.70700073,23.39999962,3.506999969,0.601999998,17.34900093,6.386000156,39.39799881,3.448275862,1.682242991,1.445783133,0.240963855,0.120481928,0.481927711,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1093,1904600011093.00,3733,916,23.09300041,60.49900055,18.05500031,0,0.108999997,5.894999981,0.654999971,18.66799927,0.844024308,1.750547046,0.218340611,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1106,1904600011106.00,4380,1097,14.19400024,51.86700058,20.61599922,0.092,0.456,5.834000111,1.366999984,17.31999969,0.699504518,1.482701812,0.63810392,0.091157703,0.091157703,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1110,1904600011110.00,3318,846,25.08399963,55.20800018,19.0170002,0,0.354999989,6.737999916,0.47299999,16.43000031,0.710280374,2.472527473,0.709219858,0.11820331,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1125,1904600011125.00,3672,891,37.16600037,71.00099945,25.62599945,4.643000126,1.347000003,22.11000061,8.642000198,44.10800171,3.112413036,2.757352941,0.785634119,0.224466891,0.561167228,0.336700337,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,113A,190460001113A,4381,899,51.32400131,77.89499664,22.00399971,5.914999962,0.444999993,18.02000046,5.672999859,47.16400146,5.390749601,3.10391363,2.55839822,0,0,0.111234705,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1144,1904600011144.00,2943,673,37.48300171,65.64099884,17.70299911,4.035999775,0.89200002,13.67000008,3.417999983,33.43199921,3.493058665,2.421307506,0.891530461,0,0.29717682,0.14858841,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1159,1904600011159.00,4960,1267,22.36599922,44.75299835,19.55599976,0.874000013,1.815000057,7.498000145,2.999000072,19.02099991,1.896733404,1.701570681,8.681925809,0.078926598,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1163,1904600011163.00,4720,1216,15.54399967,48.41699982,18.00799942,0.25,0.657999992,7.072000027,2.055999994,18.42099953,0.188577586,2.471169687,2.713815789,0.164473684,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1178,1904600011178.00,2534,651,25.2140007,56.09799957,15.62699986,0,0.768000007,5.22300005,0.614000022,12.90299988,0.807217474,3.139013453,0.153609831,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1182,1904600011182.00,2827,729,24.51000023,59.70600128,15.84700012,0.137999997,0.412,4.251999855,1.371999979,15.22599983,0.435350457,12.41610738,1.371742112,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1197,1904600011197.00,2587,663,26.57600021,59.0909996,15.46199989,0.151999995,0.754000008,4.525000095,1.055999994,13.27299976,1.36406397,3.802281369,0.150829563,0.150829563,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,120A,190460001120A,3715,803,49.14199829,81.07099915,26.56800079,5.031000137,0.374000013,17.06100082,6.227000237,44.95600128,3.992537313,6.379310345,1.494396015,0.124533001,0,0.124533001,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1214,1904600011214.00,2891,680,36.40499878,72.4940033,20.06200027,3.381999969,0,12.79399967,2.940999985,32.5,3.477868112,3.174603175,2.058823529,0.294117647,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1229,1904600011229.00,4609,1053,45.5929985,78.91400146,26.55699921,5.933000088,0.665000021,19.27799988,5.032999992,49.38299942,5.464159812,5.233380481,0.759734093,0,0.094966762,0.094966762,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1233,1904600011233.00,3479,830,40.06100082,71.63600159,20.75300026,4.584000111,0,14.81900024,5.181000233,40.72299957,4.0136312,4.191616766,1.445783133,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1248,1904600011248.00,3866,978,29.40800095,60.50600052,17.45999908,0.513000011,0.101999998,10.02000046,1.840000033,29.85700035,1.852464439,3.056768559,0.102249489,0.102249489,0,0.102249489,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1252,1904600011252.00,4154,1039,34.82899857,68.01999664,17.93499947,0.388000011,1.154999971,7.603000164,1.251000047,22.90699959,1.556776557,6.339468303,1.058710298,0.192492782,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1267,1904600011267.00,4659,1156,31.42099953,66.75499725,16.46299934,0.523000002,0.172999993,6.747000217,1.383999944,17.12800026,1.903485255,7.747747748,0.346020761,0.08650519,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1271,1904600011271.00,3770,1026,22.33099937,48.93600082,17.82500076,0.294,0.779999971,6.335000038,1.656999946,11.5010004,1.139322917,2.905569007,0.487329435,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1286,1904600011286.00,3071,792,30.1590004,50.7840004,15.10900021,0.127000004,0.379000008,4.545000076,0.758000016,13.13099957,0.876494024,2.654867257,0.252525253,0,0.126262626,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1290,1904600011290.00,4306,1083,12.69099998,44.78300095,19.76300049,0.279000014,1.661999941,7.202000141,4.524000168,13.20400047,0.584469802,1.690821256,0.738688827,0.184672207,0,0.092336103,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1,1303,1904600011303.00,4781,1220,9.324999809,35.76399994,22.17099953,0,0,4.835999966,0.492000014,11.39299965,0.231839258,2.272727273,0.491803279,0.163934426,0,0,Bajo
