CEF,NE,CM,NM,AGEB,PT,VVPH,P_15_MAS_EBI,P_15_24_NAE,PSDSP,PVH,VNDS,VNDL,VNDR,VNDT,P_15_MAS_A,P_6_14_NAE,VPT,VNDAP,VNDD,VNDEE,GRS
19,Nuevo León,46,San Nicolás de los Garza,540,5577,1434,1204,2302,1260,58,15,451,112,956,75,75,23,0,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,593,5410,1427,295,1656,774,0,0,197,30,542,5,61,3,3,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,610,667,180,35,179,38,3,0,14,3,129,1,25,3,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,625,746,190,112,455,151,0,11,51,3,180,9,0,7,11,7,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,663,299,73,29,61,24,8,0,12,0,28,0,5,0,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,682,3437,879,405,1649,480,7,11,132,62,516,23,29,19,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,714,4117,1071,1457,2598,648,19,119,415,111,1003,64,146,7,0,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,752,2198,579,175,844,360,3,60,182,79,322,2,17,3,0,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,786,5265,1380,1633,2872,1212,99,11,591,175,1541,126,110,26,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,822,2043,482,553,1472,470,47,21,241,101,669,48,92,4,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,841,2937,741,771,1863,723,28,27,202,87,784,54,137,31,0,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,856,5702,1441,979,2640,1069,24,79,466,150,957,29,94,75,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,860,3960,951,1030,2191,906,55,54,412,154,1111,85,125,4,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,875,4493,1206,425,1461,743,3,70,238,85,510,12,107,40,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,894,3170,767,429,1274,619,12,82,260,70,595,33,34,33,0,0,4,Bajo
19,Nuevo León,46,San Nicolás de los Garza,907,3958,993,633,1873,807,16,155,398,171,817,23,50,11,7,7,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,926,5994,1290,2231,4302,1559,161,134,859,302,2402,183,118,51,9,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,930,3276,887,282,1118,434,3,107,251,140,406,7,91,29,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,945,3972,1064,544,1359,756,22,108,436,145,724,55,87,3,7,0,3,Bajo
19,Nuevo León,46,San Nicolás de los Garza,979,3186,881,531,1049,542,14,3,180,28,350,32,67,10,10,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,998,6715,1630,1339,3826,1425,24,20,523,140,1511,67,111,32,4,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1002,3558,811,1668,2771,880,79,17,504,105,1574,122,187,30,17,0,8,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1017,4766,1225,917,2878,1036,31,38,427,128,1353,34,100,15,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1021,4408,1142,535,1696,683,7,11,220,23,436,17,85,7,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1040,3873,968,278,1479,694,0,3,124,12,364,8,11,4,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1055,7975,1959,1631,3948,1487,20,61,565,118,1563,90,100,20,12,0,8,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1074,5475,1361,360,1349,996,0,12,181,32,434,10,99,4,4,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1089,3718,830,1510,2777,870,130,22,645,237,1464,128,62,53,8,4,17,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1093,3733,916,862,2258,673,0,4,220,24,696,31,65,8,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1106,4380,1097,621,2271,902,4,19,255,59,758,30,64,27,3,3,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1110,3318,846,832,1831,630,0,11,223,15,545,23,82,23,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1125,3672,891,1364,2607,940,170,49,811,317,1619,114,101,28,8,20,12,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1144,2943,673,1103,1931,520,118,26,402,100,983,102,71,26,0,8,4,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1159,4960,1267,1109,2219,969,43,90,371,148,943,94,84,430,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1163,4720,1216,733,2285,849,11,31,333,97,869,8,116,128,7,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1178,2534,651,638,1421,395,0,19,132,15,326,20,79,3,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1182,2827,729,692,1687,447,3,11,120,38,430,12,351,38,0,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1197,2587,663,687,1528,400,3,19,117,27,343,35,98,3,3,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1214,2891,680,1052,2095,579,97,0,369,85,939,100,91,59,8,0,0,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1229,4609,1053,2101,3637,1224,273,30,888,231,2276,251,241,35,0,4,4,Bajo
19,Nuevo León,46,San Nicolás de los Garza,1233,3479,830,1393,2492,721,159,0,515,180,1416,139,145,50,0,0,0,Bajo
