ID,Clee,NUE,RS,NCA,NPO,E,EP,TAH,NAH,L,TE,LAT,LON,FiDENUE
3032781,19046812110006311000000000U2,ESTETICA,0,15,1,0,0,COLONIA,PARQUE LA TALAVERNA,San Nicolás de los Garza,Fijo,25.71558422,-100.2292768,2010-07
3032174,19046812110007901000000000U9,ESTETICA,0,15,1,0,0,COLONIA,CIUDAD IDEAL,San Nicolás de los Garza,Fijo,25.7066921,-100.2505987,2010-07
3030985,19046812110001321000000000U6,ESTETICA,0,15,1,0,0,COLONIA,CASA BLANCA SAN ANGEL,San Nicolás de los Garza,Fijo,25.73069685,-100.2353513,2010-07
3006972,19046812110008531000000000U3,ESTETICA,0,15,1,0,0,COLONIA,FRANCISCO VILLA,San Nicolás de los Garza,Fijo,25.75002157,-100.2743885,2010-07
3022353,19046812110002731000000000U5,ESTETICA,0,15,1,0,0,COLONIA,CENTRO,San Nicolás de los Garza,Fijo,25.75004447,-100.284392,2010-07
3021839,19046812110007101000000000U6,ESTETICA,0,15,1,0,0,COLONIA,SAN NICOLAS CENTRO,San Nicolás de los Garza,Fijo,25.75448727,-100.2866311,2010-07
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
